;ANIMAL;GENDER;AH_W_G;PH_W_G;SHAVINGS_W_G;TOTAL;AH_L;AH_C;AH_STUMP_L;PH_L;PH_C;PH_STUMP_L;CALC_AGE;CALC_ARRIVAL;DH_YEAR;DH_MONTH;DH_QUARTER;W_DIFF;L_DIFF;C_DIFF;B_YEAR;B_MONTH;B_QUARTER;DIM_DEHORN;INT_DEHORN;CALC_PARITY;C_YEAR;C_MONTH;C_QUARTER;N_DEHORNINGS;GR_DAYS;G_TOTAL;G_AH_W;G_AH_L;G_AH_C;G_PH_W;G_PH_L;G_PH_C;DAYSDUE
1;1;M;5391;1682;285;7358;580;830;80;235;730;20;NA;NA;2011;8;3;3709;345;100;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2;NA;42;NA;NA;42;NA;NA;NA;NA;NA;NA;NA;NA;2014;4;2;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2;F;1235;277;120;1632;115;595;75;50;510;20;NA;563;2011;12;4;958;65;85;NA;NA;NA;293;NA;1;2011;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2;F;1618;230;95;1943;140;610;80;35;540;45;NA;1156;2013;7;3;1388;105;70;NA;NA;NA;886;593;1;2011;2;1;2;593;3,276559865;2,728499157;0,23608769;1,028667791;0,387858347;0,059021922;0,910623946;NA
5;3;F;1972;320;150;2442;170;630;70;70;530;35;NA;1879;2015;7;3;1652;100;100;NA;NA;NA;1609;723;1;2011;2;1;3;723;3,377593361;2,727524205;0,235131397;0,871369295;0,442600277;0,096818811;0,733056708;NA
6;3;F;996;398;76;1470;130;620;80;125;500;25;NA;484;2011;9;3;598;5;120;NA;NA;NA;468;NA;1;2010;6;2;1;NA;NA;NA;NA;NA;NA;NA;NA;137
7;4;F;1096;331;156;1583;100;630;90;60;540;40;NA;1138;2013;7;3;765;40;90;NA;NA;NA;517;654;2;2012;2;1;2;654;2,420489297;1,675840979;0,152905199;0,963302752;0,506116208;0,091743119;0,825688073;30
8;5;F;1520;300;130;1950;125;620;105;60;560;30;NA;1811;2015;5;2;1220;65;60;NA;NA;NA;643;673;3;2013;8;3;3;673;2,897473997;2,258543834;0,185735513;0,921248143;0,44576523;0,089153046;0,832095097;NA
9;5;F;1152;198;63;1413;180;570;80;50;520;25;NA;484;2011;9;3;954;130;50;NA;NA;NA;432;NA;1;2010;7;2;1;NA;NA;NA;NA;NA;NA;NA;NA;143
10;5;F;308;NA;NA;308;50;NA;NA;NA;NA;NA;NA;740;2012;6;2;NA;NA;NA;NA;NA;NA;113;256;2;2012;2;1;2;256;1,203125;1,203125;0,1953125;NA;NA;NA;NA;978
11;6;F;1051;175;62;1288;100;560;110;40;500;30;NA;1138;2013;7;3;876;60;60;NA;NA;NA;511;398;2;2012;2;1;3;398;3,236180905;2,640703518;0,251256281;1,407035176;0,439698492;0,100502513;1,256281407;580
12;7;F;1450;175;95;1720;150;600;90;40;500;30;NA;1847;2015;6;2;1275;110;100;NA;NA;NA;129;709;3;2015;2;1;4;709;2,425952045;2,045133992;0,211565585;0,846262341;0,246826516;0,056417489;0,705218618;NA
13;7;M;1300;50;60;1410;240;520;80;50;400;10;989;NA;2014;11;4;1250;190;120;2012;2;1;NA;NA;0;NA;NA;NA;1;989;1,425682508;1,31445905;0,242669363;0,52578362;0,050556117;0,050556117;0,404448938;NA
14;7;F;898;217;84;1199;185;570;85;80;550;30;NA;484;2011;9;3;681;105;20;NA;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;368
15;8;F;771;178;72;1021;90;580;90;40;500;20;NA;1138;2013;7;3;593;50;80;NA;NA;NA;286;654;1;2012;10;3;2;654;1,56116208;1,178899083;0,137614679;0,886850153;0,272171254;0,06116208;0,764525994;658
16;9;M;312;8;NA;320;130;NA;NA;10;NA;NA;343;NA;2013;9;3;304;120;NA;2012;10;4;NA;NA;0;NA;NA;NA;1;343;0,932944606;0,909620991;0,379008746;NA;0,023323615;0,029154519;NA;NA
17;9;F;1852;452;154;2458;140;680;100;120;570;20;NA;707;2012;5;2;1400;20;110;NA;NA;NA;174;NA;1;2011;11;3;1;NA;NA;NA;NA;NA;NA;NA;NA;596
18;10;F;2250;310;136;2696;130;780;100;50;640;40;NA;1560;2014;9;3;1940;80;140;NA;NA;NA;257;853;2;2013;12;4;2;853;3,160609613;2,637749121;0,152403283;0,914419695;0,363423212;0,058616647;0,750293083;475
19;10;M;375;NA;34;409;145;430;65;NA;280;NA;713;NA;2013;10;4;NA;NA;150;2011;11;4;NA;NA;0;NA;NA;NA;1;713;0,573632539;0,525946704;0,203366059;0,603085554;NA;NA;0,392706872;NA
20;11;M;811;97;63;971;130;520;110;30;500;40;1365;NA;2015;8;3;714;100;20;2011;11;4;NA;652;0;NA;NA;NA;2;652;1,489263804;1,243865031;0,199386503;0,797546012;0,148773006;0,04601227;0,766871166;NA
21;11;F;1210;191;147;1548;130;665;80;60;570;20;NA;930;2012;12;4;1019;70;95;NA;NA;NA;421;NA;1;2011;10;3;1;NA;NA;NA;NA;NA;NA;NA;NA;813
22;12;F;1217;152;150;1519;120;660;65;45;500;35;NA;1847;2015;6;2;1065;75;160;NA;NA;NA;104;917;2;2015;3;1;2;917;1,65648855;1,327153762;0,130861505;0,719738277;0,165757906;0,049073064;0,54525627;NA
